biome_lineage,biome_name,sample_accession,host_scientific_name,run_accession,experiment_type
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885074,Apis mellifera,SRR13256640,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094631,Apis mellifera,SRR16972388,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885047,Apis mellifera,SRR13256667,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS11094618,Apis mellifera,SRR16972401,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885039,Apis mellifera,SRR13256676,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885076,Apis mellifera,SRR13256639,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885041,Apis mellifera,SRR13256674,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885075,Apis mellifera,SRR13256638,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885071,Apis mellifera,SRR13256643,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885049,Apis mellifera,SRR13256665,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885053,Apis mellifera,SRR13256661,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885051,Apis mellifera,SRR13256663,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885042,Apis mellifera,SRR13256672,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885040,Apis mellifera,SRR13256673,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885063,Apis mellifera,SRR13256651,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885070,Apis mellifera,SRR13256644,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885054,Apis mellifera,SRR13256660,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885067,Apis mellifera,SRR13256647,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885046,Apis mellifera,SRR13256668,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885061,Apis mellifera,SRR13256653,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885050,Apis mellifera,SRR13256664,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885057,Apis mellifera,SRR13256657,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885044,Apis mellifera,SRR13256670,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885058,Apis mellifera,SRR13256656,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885069,Apis mellifera,SRR13256645,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885073,Apis mellifera,SRR13256641,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885038,Apis mellifera,SRR13256675,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885065,Apis mellifera,SRR13256649,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS7885064,Apis mellifera,SRR13256650,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893920,Western honey bee,SRR7986811,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893932,Western honey bee,SRR7986798,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893922,Western honey bee,SRR7986808,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893936,Western honey bee,SRR7986795,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893941,Western honey bee,SRR7986789,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893940,Western honey bee,SRR7986790,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893927,Western honey bee,SRR7986803,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893921,Western honey bee,SRR7986810,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893919,Western honey bee,SRR7986809,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893934,Western honey bee,SRR7986794,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893926,Western honey bee,SRR7986804,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893931,Western honey bee,SRR7986799,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893923,Western honey bee,SRR7986806,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893933,Western honey bee,SRR7986797,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893928,Western honey bee,SRR7986801,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893935,Western honey bee,SRR7986796,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893937,Western honey bee,SRR7986793,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893930,Western honey bee,SRR7986800,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893938,Western honey bee,SRR7986792,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893924,Western honey bee,SRR7986807,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893929,Western honey bee,SRR7986802,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893939,Western honey bee,SRR7986791,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS3893925,Western honey bee,SRR7986805,metagenomic
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418306,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418317,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418328,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418339,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418350,unknown
root:Host-associated:Insecta,Insecta (excl. sub-lineages),SRS5627021,Apis mellifera,SRR10418351,unknown
